subject,trial,condition,block,sound_file,arousal,valence,time_bin_s,pupil_pct_change_sound_pre500to0_bin,pupil_bin_valid_ratio,pupil_bin_valid_ratio_lt50,trial_is_rejected_pupil,pupil_baseline_pre500to0,reverse_latency_main_s,mean_aligned_spv_0to2s,congruent_occupancy_0to2s,reverse_found_main,n_valid_slowphases
sub-20,56,WB,2,9.wav,6,6,0.25,-0.0598252809519643,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.35,0.969418939020104,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.45,1.51192551102906,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.55,0.210306718957595,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.65,-2.4383660874326,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.75,-5.05060789405356,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.85,-6.55634456902299,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,0.95,-6.07795679528011,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.05,-4.18349279323417,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.15,-2.61883878380462,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.25,-1.43744755749177,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.35,0.893003718030419,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.45,4.10061077314234,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.55,6.60120316371323,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.65,6.58074989438922,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.75,4.47092838358746,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.85,2.12762806227428,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
sub-20,56,WB,2,9.wav,6,6,1.95,0.139309915021094,1,0,0,22.728777387601,1.536,-0.205644062962614,0.138861138861139,1,13
